"uri","constituency type","ended date","gss code","label","os name","started date"
"http://data.parliament.uk/resources/146125",,"1950-02-23",,"South Poplar",,"1918-12-14"
"http://data.parliament.uk/resources/146126","County","1997-05-01",,"South Ribble",,"1983-06-09"
"http://data.parliament.uk/resources/146127","County","2010-05-06",,"South Ribble","South Ribble Co Const","1997-05-01"
"http://data.parliament.uk/resources/147208","County",,"E14000943","South Ribble","South Ribble Co Const","2010-05-06"
"http://data.parliament.uk/resources/146128",,"1950-02-23",,"South Shields",,"1918-12-14"
"http://data.parliament.uk/resources/146129",,"1974-02-28",,"South Shields",,"1950-02-23"
"http://data.parliament.uk/resources/146130","Borough","1983-06-09",,"South Shields",,"1974-02-28"
"http://data.parliament.uk/resources/146131","Borough","1997-05-01",,"South Shields",,"1983-06-09"
"http://data.parliament.uk/resources/146132","Borough","2010-05-06",,"South Shields","South Shields Boro Const","1997-05-01"
"http://data.parliament.uk/resources/147209","Borough",,"E14000944","South Shields","South Shields Boro Const","2010-05-06"
"http://data.parliament.uk/resources/146133","County","1997-05-01",,"South Staffordshire",,"1983-06-09"
"http://data.parliament.uk/resources/146134","County","2010-05-06",,"South Staffordshire","South Staffordshire Co Const","1997-05-01"
"http://data.parliament.uk/resources/146135","County","1997-05-01",,"South Suffolk",,"1983-06-09"
"http://data.parliament.uk/resources/146136","County","2010-05-06",,"South Suffolk","South Suffolk Co Const","1997-05-01"
"http://data.parliament.uk/resources/146137","County","2010-05-06",,"South Swindon","South Swindon Co Const","1997-05-01"
"http://data.parliament.uk/resources/146138","County","1997-05-01",,"South Thanet",,"1983-06-09"
"http://data.parliament.uk/resources/146139","County","2010-05-06",,"South Thanet","South Thanet Co Const","1997-05-01"
"http://data.parliament.uk/resources/146140","County","1997-05-01",,"South West Bedfordshire",,"1983-06-09"
"http://data.parliament.uk/resources/146141","County","2010-05-06",,"South West Bedfordshire","South West Bedfordshire Co Const","1997-05-01"
"http://data.parliament.uk/resources/146142","County","1997-05-01",,"South West Cambridgeshire",,"1983-06-09"
"http://data.parliament.uk/resources/146143","County","2010-05-06",,"South West Devon","South West Devon Co Const","1997-05-01"
"http://data.parliament.uk/resources/146144",,"1974-02-28",,"South West Hertfordshire",,"1950-02-23"
"http://data.parliament.uk/resources/146145","County","1983-06-09",,"South West Hertfordshire",,"1974-02-28"
"http://data.parliament.uk/resources/146146","County","1997-05-01",,"South West Hertfordshire",,"1983-06-09"
"http://data.parliament.uk/resources/146147","County","2010-05-06",,"South West Hertfordshire","South West Hertfordshire Co Const","1997-05-01"
"http://data.parliament.uk/resources/146148",,"1974-02-28",,"South West Norfolk",,"1950-02-23"
"http://data.parliament.uk/resources/146149","County","1983-06-09",,"South West Norfolk",,"1974-02-28"
"http://data.parliament.uk/resources/146150","County","1997-05-01",,"South West Norfolk",,"1983-06-09"
"http://data.parliament.uk/resources/146151","County","2010-05-06",,"South West Norfolk","South West Norfolk Co Const","1997-05-01"
"http://data.parliament.uk/resources/146152","County","1983-06-09",,"South West Staffordshire",,"1974-02-28"
"http://data.parliament.uk/resources/146153","County","1997-05-01",,"South West Surrey",,"1983-06-09"
"http://data.parliament.uk/resources/146154","County","2010-05-06",,"South West Surrey","South West Surrey Co Const","1997-05-01"
"http://data.parliament.uk/resources/146155",,"1950-02-23",,"South Western Norfolk",,"1918-12-14"
"http://data.parliament.uk/resources/146156",,"1974-02-28",,"South Worcestershire",,"1950-02-23"
"http://data.parliament.uk/resources/146157","County","1983-06-09",,"South Worcestershire",,"1974-02-28"
"http://data.parliament.uk/resources/146158","County","1997-05-01",,"South Worcestershire",,"1983-06-09"
"http://data.parliament.uk/resources/146159",,"1950-02-23",,"Southall",,"1918-12-14"
"http://data.parliament.uk/resources/146160",,"1974-02-28",,"Southall",,"1950-02-23"
"http://data.parliament.uk/resources/146161",,"1950-02-23",,"Southampton",,"1918-12-14"
"http://data.parliament.uk/resources/146162",,"1974-02-28",,"Southampton, Itchen",,"1950-02-23"
"http://data.parliament.uk/resources/146163","Borough","1983-06-09",,"Southampton, Itchen",,"1974-02-28"
"http://data.parliament.uk/resources/146164","Borough","1997-05-01",,"Southampton, Itchen",,"1983-06-09"
"http://data.parliament.uk/resources/146165","Borough","2010-05-06",,"Southampton, Itchen","Southampton, Itchen Boro Const","1997-05-01"
"http://data.parliament.uk/resources/147220","Borough",,"E14000955","Southampton, Itchen","Southampton, Itchen Boro Const","2010-05-06"
"http://data.parliament.uk/resources/146166",,"1974-02-28",,"Southampton, Test",,"1950-02-23"
"http://data.parliament.uk/resources/146167","Borough","1983-06-09",,"Southampton, Test",,"1974-02-28"
"http://data.parliament.uk/resources/146168","Borough","1997-05-01",,"Southampton, Test",,"1983-06-09"
"http://data.parliament.uk/resources/146169","Borough","2010-05-06",,"Southampton, Test","Southampton, Test Boro Const","1997-05-01"
"http://data.parliament.uk/resources/147221","Borough",,"E14000956","Southampton, Test","Southampton, Test Boro Const","2010-05-06"
"http://data.parliament.uk/resources/146170",,"1974-02-28",,"Southend East",,"1950-02-23"
"http://data.parliament.uk/resources/146171","Borough","1983-06-09",,"Southend East",,"1974-02-28"
"http://data.parliament.uk/resources/146172","Borough","1997-05-01",,"Southend East",,"1983-06-09"
"http://data.parliament.uk/resources/146173",,"1974-02-28",,"Southend West",,"1950-02-23"
"http://data.parliament.uk/resources/146174","Borough","1983-06-09",,"Southend West",,"1974-02-28"
"http://data.parliament.uk/resources/146175","Borough","1997-05-01",,"Southend West",,"1983-06-09"
"http://data.parliament.uk/resources/146176","Borough","2010-05-06",,"Southend West","Southend West Boro Const","1997-05-01"
"http://data.parliament.uk/resources/147222","Borough",,"E14000957","Southend West","Southend West Boro Const","2010-05-06"
"http://data.parliament.uk/resources/146177",,"1950-02-23",,"Southend-on-Sea",,"1918-12-14"
"http://data.parliament.uk/resources/146178",,"1950-02-23",,"Southern Norfolk",,"1918-12-14"
"http://data.parliament.uk/resources/146179",,"1974-02-28",,"Southgate",,"1950-02-23"
"http://data.parliament.uk/resources/146180",,"1950-02-23",,"Southport",,"1918-12-14"
"http://data.parliament.uk/resources/146181",,"1974-02-28",,"Southport",,"1950-02-23"
"http://data.parliament.uk/resources/146182","Borough","1983-06-09",,"Southport",,"1974-02-28"
"http://data.parliament.uk/resources/146183","Borough","1997-05-01",,"Southport",,"1983-06-09"
"http://data.parliament.uk/resources/146184","Borough","2010-05-06",,"Southport","Southport Boro Const","1997-05-01"
"http://data.parliament.uk/resources/147223","Borough",,"E14000958","Southport",,"2010-05-06"
"http://data.parliament.uk/resources/146185",,"1974-02-28",,"Southwark",,"1950-02-23"
"http://data.parliament.uk/resources/146186","Borough","1997-05-01",,"Southwark & Bermondsey",,"1983-06-09"
"http://data.parliament.uk/resources/146187",,"1950-02-23",,"Southwark Central",,"1918-12-14"
"http://data.parliament.uk/resources/146188",,"1950-02-23",,"Southwark North",,"1918-12-14"
"http://data.parliament.uk/resources/146189",,"1950-02-23",,"Southwark South East",,"1918-12-14"
"http://data.parliament.uk/resources/146190",,"1950-02-23",,"Sowerby",,"1918-12-14"
"http://data.parliament.uk/resources/146191",,"1974-02-28",,"Sowerby",,"1950-02-23"
"http://data.parliament.uk/resources/146192","County","1983-06-09",,"Sowerby",,"1974-02-28"
"http://data.parliament.uk/resources/146193",,"1950-02-23",,"Spelthorne",,"1918-12-14"
"http://data.parliament.uk/resources/146194",,"1974-02-28",,"Spelthorne",,"1950-02-23"
"http://data.parliament.uk/resources/146195","Borough","1983-06-09",,"Spelthorne",,"1974-02-28"
"http://data.parliament.uk/resources/146196","Borough","1997-05-01",,"Spelthorne",,"1983-06-09"
"http://data.parliament.uk/resources/146197","Borough","2010-05-06",,"Spelthorne","Spelthorne Boro Const","1997-05-01"
"http://data.parliament.uk/resources/147224","Borough",,"E14000959","Spelthorne",,"2010-05-06"
"http://data.parliament.uk/resources/146198",,"1950-02-23",,"Spen Valley",,"1918-12-14"
"http://data.parliament.uk/resources/146199",,"1950-02-23",,"Spennymoor",,"1918-12-14"
"http://data.parliament.uk/resources/146200",,"1950-02-23",,"St Albans",,"1918-12-14"
"http://data.parliament.uk/resources/146201",,"1974-02-28",,"St Albans",,"1950-02-23"
"http://data.parliament.uk/resources/146202","County","1983-06-09",,"St Albans",,"1974-02-28"
"http://data.parliament.uk/resources/146203","County","1997-05-01",,"St Albans",,"1983-06-09"
"http://data.parliament.uk/resources/146204","County","2010-05-06",,"St Albans","St. Albans Co Const","1997-05-01"
"http://data.parliament.uk/resources/147225","County",,"E14000960","St Albans","St. Albans Co Const","2010-05-06"
"http://data.parliament.uk/resources/147226","County",,"E14000961","St Austell and Newquay","St. Austell and Newquay Co Const","2010-05-06"
"http://data.parliament.uk/resources/146205",,"1950-02-23",,"St Helens",,"1918-12-14"
"http://data.parliament.uk/resources/146206",,"1974-02-28",,"St Helens",,"1950-02-23"
"http://data.parliament.uk/resources/146207","Borough","1983-06-09",,"St Helens",,"1974-02-28"
"http://data.parliament.uk/resources/146208","Borough","1997-05-01",,"St Helens North",,"1983-06-09"
"http://data.parliament.uk/resources/146209","Borough","2010-05-06",,"St Helens North","St. Helens North Boro Const","1997-05-01"
"http://data.parliament.uk/resources/147227","Borough",,"E14000962","St Helens North","St. Helens North Boro Const","2010-05-06"
"http://data.parliament.uk/resources/146210","Borough","1997-05-01",,"St Helens South",,"1983-06-09"
"http://data.parliament.uk/resources/146211","Borough","2010-05-06",,"St Helens South","St. Helens South Boro Const","1997-05-01"
"http://data.parliament.uk/resources/147228","Borough",,"E14000963","St Helens South and Whiston","St. Helens South and Whiston Boro Const","2010-05-06"
"http://data.parliament.uk/resources/146212",,"1950-02-23",,"St Ives",,"1918-12-14"
"http://data.parliament.uk/resources/146213",,"1974-02-28",,"St Ives",,"1950-02-23"
"http://data.parliament.uk/resources/146214","County","1983-06-09",,"St Ives",,"1974-02-28"
"http://data.parliament.uk/resources/146215","County","1997-05-01",,"St Ives",,"1983-06-09"
"http://data.parliament.uk/resources/146216","County","2010-05-06",,"St Ives","St. Ives Co Const","1997-05-01"
"http://data.parliament.uk/resources/147229","County",,"E14000964","St Ives","St. Ives Co Const","2010-05-06"
"http://data.parliament.uk/resources/146217",,"1950-02-23",,"St Marylebone",,"1918-12-14"
"http://data.parliament.uk/resources/146218",,"1974-02-28",,"St Marylebone",,"1950-02-23"
"http://data.parliament.uk/resources/146219","Borough","1983-06-09",,"St Marylebone",,"1974-02-28"
"http://data.parliament.uk/resources/146220",,"1950-02-23",,"St Pancras North",,"1918-12-14"
