"","observation_path","chamber_path","constituency_path","observation_number","chamber_number","chamber_name","constituency_number","constituency_name","country_name","province_name"
"829","/chamber-1/constituency-829","/chamber-1","/chamber-1/constituency-829","829",1,"House of Commons","829","Milton Keynes South West",NA,NA
"830","/chamber-1/constituency-830","/chamber-1","/chamber-1/constituency-830","830",1,"House of Commons","830","Mitcham",NA,NA
"831","/chamber-1/constituency-831","/chamber-1","/chamber-1/constituency-831","831",1,"House of Commons","831","Mitcham and Morden","England",NA
"832","/chamber-1/constituency-832","/chamber-1","/chamber-1/constituency-832","832",1,"House of Commons","832","Mole Valley","England",NA
"833","/chamber-1/constituency-833","/chamber-1","/chamber-1/constituency-833","833",1,"House of Commons","833","Monklands East",NA,NA
"834","/chamber-1/constituency-834","/chamber-1","/chamber-1/constituency-834","834",1,"House of Commons","834","Monklands West",NA,NA
"835","/chamber-1/constituency-835","/chamber-1","/chamber-1/constituency-835","835",1,"House of Commons","835","Monmouth","Wales",NA
"836","/chamber-1/constituency-836","/chamber-1","/chamber-1/constituency-836","836",1,"House of Commons","836","Montgomery",NA,NA
"837","/chamber-1/constituency-837","/chamber-1","/chamber-1/constituency-837","837",1,"House of Commons","837","Montgomeryshire","Wales",NA
"838","/chamber-1/constituency-838","/chamber-1","/chamber-1/constituency-838","838",1,"House of Commons","838","Montrose District of Burghs",NA,NA
"839","/chamber-1/constituency-839","/chamber-1","/chamber-1/constituency-839","839",1,"House of Commons","839","Moray","Scotland",NA
"840","/chamber-1/constituency-840","/chamber-1","/chamber-1/constituency-840","840",1,"House of Commons","840","Moray and Nairn",NA,NA
"841","/chamber-1/constituency-841","/chamber-1","/chamber-1/constituency-841","841",1,"House of Commons","841","Moray and Nairnshire",NA,NA
"842","/chamber-1/constituency-842","/chamber-1","/chamber-1/constituency-842","842",1,"House of Commons","842","Morecambe and Lonsdale",NA,NA
"843","/chamber-1/constituency-843","/chamber-1","/chamber-1/constituency-843","843",1,"House of Commons","843","Morecambe and Lunesdale","England",NA
"844","/chamber-1/constituency-844","/chamber-1","/chamber-1/constituency-844","844",1,"House of Commons","844","Bermondsey",NA,NA
"845","/chamber-1/constituency-845","/chamber-1","/chamber-1/constituency-845","845",1,"House of Commons","845","Dorset, Western",NA,NA
"846","/chamber-1/constituency-846","/chamber-1","/chamber-1/constituency-846","846",1,"House of Commons","846","Dummy constituency",NA,NA
