"","committee_acronym","parliament_number","session_number","date_change","position","full_name"
"40.94","BILI","41","1","2011-09-13","Associate Member","Devinder Shory"
"40.95","BILI","41","1","2011-09-13","Associate Member","Joy Smith"
"40.96","BILI","41","1","2011-09-13","Associate Member","Robert Sopuck"
"40.97","BILI","41","1","2011-09-13","Associate Member","Kevin Sorenson"
"40.98","BILI","41","1","2011-09-13","Associate Member","Brian Storseth"
"40.99","BILI","41","1","2011-09-13","Associate Member","Mark Strahl"
"40.100","BILI","41","1","2011-09-13","Associate Member","David Sweet"
"40.101","BILI","41","1","2011-09-13","Associate Member","David Tilson"
"40.102","BILI","41","1","2011-09-13","Associate Member","Lawrence Toet"
"40.103","BILI","41","1","2011-09-13","Associate Member","Brad Trost"
"40.104","BILI","41","1","2011-09-13","Associate Member","Bernard Trottier"
"40.105","BILI","41","1","2011-09-13","Associate Member","Susan Truppe"
"40.106","BILI","41","1","2011-09-13","Associate Member","Merv Tweed"
"40.107","BILI","41","1","2011-09-13","Associate Member","Dave Van Kesteren"
"40.108","BILI","41","1","2011-09-13","Associate Member","Maurice Vellacott"
"40.109","BILI","41","1","2011-09-13","Associate Member","Mike Wallace"
"40.110","BILI","41","1","2011-09-13","Associate Member","Mark Warawa"
"40.111","BILI","41","1","2011-09-13","Associate Member","Chris Warkentin"
"40.112","BILI","41","1","2011-09-13","Associate Member","Jeff Watson"
"40.113","BILI","41","1","2011-09-13","Associate Member","John Weston"
"40.114","BILI","41","1","2011-09-13","Associate Member","Rodney Weston"
"40.115","BILI","41","1","2011-09-13","Associate Member","David Wilks"
"40.116","BILI","41","1","2011-09-13","Associate Member","John Williamson"
"40.117","BILI","41","1","2011-09-13","Associate Member","Stephen Woodworth"
"40.118","BILI","41","1","2011-09-13","Associate Member","Wai Young"
"40.119","BILI","41","1","2011-09-13","Associate Member","Mauril Bélanger"
"40.120","BILI","41","1","2011-09-13","Associate Member","Ted Hsu"
"41.1","BILI","41","1","2011-09-26","Associate Member","Eve Adams"
"41.2","BILI","41","1","2011-09-26","Associate Member","Mark Adler"
"41.3","BILI","41","1","2011-09-26","Associate Member","Dan Albas"
"41.4","BILI","41","1","2011-09-26","Associate Member","Harold Albrecht"
"41.5","BILI","41","1","2011-09-26","Associate Member","Chris Alexander"
"41.6","BILI","41","1","2011-09-26","Associate Member","Mike Allen"
"41.7","BILI","41","1","2011-09-26","Associate Member","Dean Allison"
"41.8","BILI","41","1","2011-09-26","Associate Member","Stella Ambler"
"41.9","BILI","41","1","2011-09-26","Associate Member","Rob Anders"
"41.10","BILI","41","1","2011-09-26","Associate Member","David Anderson"
"41.11","BILI","41","1","2011-09-26","Associate Member","Scott Armstrong"
"41.12","BILI","41","1","2011-09-26","Associate Member","Jay Aspin"
"41.13","BILI","41","1","2011-09-26","Associate Member","Joyce Bateman"
"41.14","BILI","41","1","2011-09-26","Associate Member","Leon Benoit"
"41.15","BILI","41","1","2011-09-26","Associate Member","Candice Bergen"
"41.16","BILI","41","1","2011-09-26","Associate Member","James Bezan"
"41.17","BILI","41","1","2011-09-26","Associate Member","Kelly Block"
"41.18","BILI","41","1","2011-09-26","Associate Member","Ray Boughen"
"41.19","BILI","41","1","2011-09-26","Associate Member","Peter Braid"
"41.20","BILI","41","1","2011-09-26","Associate Member","Garry Breitkreuz"
"41.21","BILI","41","1","2011-09-26","Associate Member","Gordon Brown"
"41.22","BILI","41","1","2011-09-26","Associate Member","Lois Brown"
"41.23","BILI","41","1","2011-09-26","Associate Member","Patrick Brown"
"41.24","BILI","41","1","2011-09-26","Associate Member","Brad Butt"
"41.25","BILI","41","1","2011-09-26","Associate Member","Paul Calandra"
"41.26","BILI","41","1","2011-09-26","Associate Member","Blaine Calkins"
"41.27","BILI","41","1","2011-09-26","Associate Member","Ron Cannan"
"41.28","BILI","41","1","2011-09-26","Associate Member","John Carmichael"
"41.29","BILI","41","1","2011-09-26","Associate Member","Colin Carrie"
"41.30","BILI","41","1","2011-09-26","Associate Member","Michael Chong"
"41.31","BILI","41","1","2011-09-26","Associate Member","Rob Clarke"
"41.32","BILI","41","1","2011-09-26","Associate Member","Joe Daniel"
"41.33","BILI","41","1","2011-09-26","Associate Member","Patricia Davidson"
"41.34","BILI","41","1","2011-09-26","Associate Member","Bob Dechert"
"41.35","BILI","41","1","2011-09-26","Associate Member","Dean Del Mastro"
"41.36","BILI","41","1","2011-09-26","Associate Member","Earl Dreeshen"
"41.37","BILI","41","1","2011-09-26","Associate Member","Rick Dykstra"
"41.38","BILI","41","1","2011-09-26","Associate Member","Kerry-Lynne D. Findlay"
"41.39","BILI","41","1","2011-09-26","Associate Member","Cheryl Gallant"
"41.40","BILI","41","1","2011-09-26","Associate Member","Parm Gill"
"41.41","BILI","41","1","2011-09-26","Associate Member","Shelly Glover"
"41.42","BILI","41","1","2011-09-26","Associate Member","Robert Goguen"
"41.43","BILI","41","1","2011-09-26","Associate Member","Peter Goldring"
"41.44","BILI","41","1","2011-09-26","Associate Member","Jacques Gourde"
"41.45","BILI","41","1","2011-09-26","Associate Member","Nina Grewal"
"41.46","BILI","41","1","2011-09-26","Associate Member","Richard Harris"
"41.47","BILI","41","1","2011-09-26","Associate Member","Laurie Hawn"
"41.48","BILI","41","1","2011-09-26","Associate Member","Bryan Hayes"
"41.49","BILI","41","1","2011-09-26","Associate Member","Russ Hiebert"
"41.50","BILI","41","1","2011-09-26","Associate Member","Randy Hoback"
"41.51","BILI","41","1","2011-09-26","Associate Member","Ed Holder"
"41.52","BILI","41","1","2011-09-26","Associate Member","Roxanne James"
"41.53","BILI","41","1","2011-09-26","Associate Member","Brian Jean"
"41.54","BILI","41","1","2011-09-26","Associate Member","Randy Kamp"
"41.55","BILI","41","1","2011-09-26","Associate Member","Gerald Keddy"
"41.56","BILI","41","1","2011-09-26","Associate Member","Greg Kerr"
"41.57","BILI","41","1","2011-09-26","Associate Member","Ed Komarnicki"
"41.58","BILI","41","1","2011-09-26","Associate Member","Daryl Kramp"
"41.59","BILI","41","1","2011-09-26","Associate Member","Mike Lake"
"41.60","BILI","41","1","2011-09-26","Associate Member","Guy Lauzon"
"41.61","BILI","41","1","2011-09-26","Associate Member","Ryan Leef"
"41.62","BILI","41","1","2011-09-26","Associate Member","Kellie Leitch"
"41.63","BILI","41","1","2011-09-26","Associate Member","Pierre Lemieux"
"41.64","BILI","41","1","2011-09-26","Associate Member","Chungsen Leung"
"41.65","BILI","41","1","2011-09-26","Associate Member","Wladyslaw Lizon"
"41.66","BILI","41","1","2011-09-26","Associate Member","Ben Lobb"
"41.67","BILI","41","1","2011-09-26","Associate Member","Tom Lukiwski"
"41.68","BILI","41","1","2011-09-26","Associate Member","James Lunney"
"41.69","BILI","41","1","2011-09-26","Associate Member","Dave MacKenzie"
"41.70","BILI","41","1","2011-09-26","Associate Member","Colin Mayes"
"41.71","BILI","41","1","2011-09-26","Associate Member","Phil McColeman"
"41.72","BILI","41","1","2011-09-26","Associate Member","Cathy McLeod"
"41.73","BILI","41","1","2011-09-26","Associate Member","Costas Menegakis"
"41.74","BILI","41","1","2011-09-26","Associate Member","Rob Merrifield"
"41.75","BILI","41","1","2011-09-26","Associate Member","Larry Miller"
"41.76","BILI","41","1","2011-09-26","Associate Member","Rob Moore"
"41.77","BILI","41","1","2011-09-26","Associate Member","Rick Norlock"
"41.78","BILI","41","1","2011-09-26","Associate Member","Deepak Obhrai"
"41.79","BILI","41","1","2011-09-26","Associate Member","Tilly O'Neill Gordon"
"41.80","BILI","41","1","2011-09-26","Associate Member","Ted Opitz"
"41.81","BILI","41","1","2011-09-26","Associate Member","LaVar Payne"
"41.82","BILI","41","1","2011-09-26","Associate Member","Pierre Poilievre"
"41.83","BILI","41","1","2011-09-26","Associate Member","Joe Preston"
"41.84","BILI","41","1","2011-09-26","Associate Member","James Rajotte"
"41.85","BILI","41","1","2011-09-26","Associate Member","Brent Rathgeber"
"41.86","BILI","41","1","2011-09-26","Associate Member","Scott Reid"
"41.87","BILI","41","1","2011-09-26","Associate Member","Michelle Rempel"
"41.88","BILI","41","1","2011-09-26","Associate Member","Lee Richardson"
"41.89","BILI","41","1","2011-09-26","Associate Member","Greg Rickford"
"41.90","BILI","41","1","2011-09-26","Associate Member","Andrew Saxton"
"41.91","BILI","41","1","2011-09-26","Associate Member","Gary Schellenberger"
"41.92","BILI","41","1","2011-09-26","Associate Member","Kyle Seeback"
"41.93","BILI","41","1","2011-09-26","Associate Member","Bev Shipley"
"41.94","BILI","41","1","2011-09-26","Associate Member","Devinder Shory"
"41.95","BILI","41","1","2011-09-26","Associate Member","Joy Smith"
"41.96","BILI","41","1","2011-09-26","Associate Member","Robert Sopuck"
"41.97","BILI","41","1","2011-09-26","Associate Member","Kevin Sorenson"
"41.98","BILI","41","1","2011-09-26","Associate Member","Brian Storseth"
"41.99","BILI","41","1","2011-09-26","Associate Member","Mark Strahl"
"41.100","BILI","41","1","2011-09-26","Associate Member","David Sweet"
"41.101","BILI","41","1","2011-09-26","Associate Member","David Tilson"
"41.102","BILI","41","1","2011-09-26","Associate Member","Lawrence Toet"
"41.103","BILI","41","1","2011-09-26","Associate Member","Brad Trost"
"41.104","BILI","41","1","2011-09-26","Associate Member","Bernard Trottier"
"41.105","BILI","41","1","2011-09-26","Associate Member","Susan Truppe"
"41.106","BILI","41","1","2011-09-26","Associate Member","Merv Tweed"
"41.107","BILI","41","1","2011-09-26","Associate Member","Dave Van Kesteren"
"41.108","BILI","41","1","2011-09-26","Associate Member","Maurice Vellacott"
"41.109","BILI","41","1","2011-09-26","Associate Member","Mike Wallace"
"41.110","BILI","41","1","2011-09-26","Associate Member","Mark Warawa"
"41.111","BILI","41","1","2011-09-26","Associate Member","Chris Warkentin"
"41.112","BILI","41","1","2011-09-26","Associate Member","Jeff Watson"
"41.113","BILI","41","1","2011-09-26","Associate Member","John Weston"
"41.114","BILI","41","1","2011-09-26","Associate Member","Rodney Weston"
"41.115","BILI","41","1","2011-09-26","Associate Member","David Wilks"
"41.116","BILI","41","1","2011-09-26","Associate Member","John Williamson"
"41.117","BILI","41","1","2011-09-26","Associate Member","Stephen Woodworth"
"41.118","BILI","41","1","2011-09-26","Associate Member","Wai Young"
"41.119","BILI","41","1","2011-09-26","Associate Member","Mauril Bélanger"
"41.120","BILI","41","1","2011-09-26","Associate Member","Ted Hsu"
"42.1","BILI","41","1","2011-09-27","Associate Member","Eve Adams"
"42.2","BILI","41","1","2011-09-27","Associate Member","Mark Adler"
"42.3","BILI","41","1","2011-09-27","Associate Member","Dan Albas"
"42.4","BILI","41","1","2011-09-27","Associate Member","Harold Albrecht"
"42.5","BILI","41","1","2011-09-27","Associate Member","Chris Alexander"
"42.6","BILI","41","1","2011-09-27","Associate Member","Mike Allen"
"42.7","BILI","41","1","2011-09-27","Associate Member","Dean Allison"
"42.8","BILI","41","1","2011-09-27","Associate Member","Stella Ambler"
"42.9","BILI","41","1","2011-09-27","Associate Member","Rob Anders"
"42.10","BILI","41","1","2011-09-27","Associate Member","David Anderson"
"42.11","BILI","41","1","2011-09-27","Associate Member","Scott Armstrong"
"42.12","BILI","41","1","2011-09-27","Associate Member","Jay Aspin"
"42.13","BILI","41","1","2011-09-27","Associate Member","Joyce Bateman"
"42.14","BILI","41","1","2011-09-27","Associate Member","Leon Benoit"
"42.15","BILI","41","1","2011-09-27","Associate Member","Candice Bergen"
"42.16","BILI","41","1","2011-09-27","Associate Member","James Bezan"
"42.17","BILI","41","1","2011-09-27","Associate Member","Kelly Block"
"42.18","BILI","41","1","2011-09-27","Associate Member","Ray Boughen"
"42.19","BILI","41","1","2011-09-27","Associate Member","Peter Braid"
"42.20","BILI","41","1","2011-09-27","Associate Member","Garry Breitkreuz"
"42.21","BILI","41","1","2011-09-27","Associate Member","Gordon Brown"
"42.22","BILI","41","1","2011-09-27","Associate Member","Lois Brown"
"42.23","BILI","41","1","2011-09-27","Associate Member","Patrick Brown"
"42.24","BILI","41","1","2011-09-27","Associate Member","Brad Butt"
"42.25","BILI","41","1","2011-09-27","Associate Member","Paul Calandra"
"42.26","BILI","41","1","2011-09-27","Associate Member","Blaine Calkins"
"42.27","BILI","41","1","2011-09-27","Associate Member","Ron Cannan"
"42.28","BILI","41","1","2011-09-27","Associate Member","John Carmichael"
"42.29","BILI","41","1","2011-09-27","Associate Member","Colin Carrie"
"42.30","BILI","41","1","2011-09-27","Associate Member","Michael Chong"
"42.31","BILI","41","1","2011-09-27","Associate Member","Rob Clarke"
"42.32","BILI","41","1","2011-09-27","Associate Member","Joe Daniel"
"42.33","BILI","41","1","2011-09-27","Associate Member","Patricia Davidson"
"42.34","BILI","41","1","2011-09-27","Associate Member","Bob Dechert"
"42.35","BILI","41","1","2011-09-27","Associate Member","Dean Del Mastro"
"42.36","BILI","41","1","2011-09-27","Associate Member","Earl Dreeshen"
"42.37","BILI","41","1","2011-09-27","Associate Member","Rick Dykstra"
"42.38","BILI","41","1","2011-09-27","Associate Member","Kerry-Lynne D. Findlay"
"42.39","BILI","41","1","2011-09-27","Associate Member","Cheryl Gallant"
"42.40","BILI","41","1","2011-09-27","Associate Member","Parm Gill"
"42.41","BILI","41","1","2011-09-27","Associate Member","Shelly Glover"
"42.42","BILI","41","1","2011-09-27","Associate Member","Robert Goguen"
"42.43","BILI","41","1","2011-09-27","Associate Member","Peter Goldring"
"42.44","BILI","41","1","2011-09-27","Associate Member","Jacques Gourde"
"42.45","BILI","41","1","2011-09-27","Associate Member","Nina Grewal"
"42.46","BILI","41","1","2011-09-27","Associate Member","Richard Harris"
