"Order of Precedence","Honorific Title","First Name","Last Name","Title","Start Date","End Date","Province / Territory",
"34","Hon.","Mauril","Bélanger","Minister responsible for Official Languages","7/20/2004 10:00:00 AM","2/5/2006 11:59:00 PM","Ontario",
"34","Hon.","Mauril","Bélanger","Minister responsible for Democratic Reform","7/20/2004 10:00:00 AM","5/17/2005 3:00:59 PM","Ontario",
"34","Hon.","Mauril","Bélanger","Associate Minister of National Defence","7/20/2004 10:00:00 AM","2/5/2006 11:59:00 PM","Ontario",
"34","Hon.","Mauril","Bélanger","Minister for Internal Trade","5/17/2005 4:00:00 PM","2/5/2006 11:59:00 PM","Ontario",
"35","Hon.","Carolyn","Bennett","Minister of State (Public Health)","12/12/2003 12:00:00 AM","2/5/2006 11:59:00 PM","Ontario",
"36","Hon.","Jacques","Saada","Leader of the Government in the House of Commons","12/12/2003 12:00:00 AM","7/19/2004 11:59:59 PM","Quebec",
"36","Hon.","Jacques","Saada","Minister responsible for Democratic Reform","12/12/2003 12:00:00 AM","7/19/2004 11:59:59 PM","Quebec",
"36","Hon.","Jacques","Saada","Minister of the Economic Development Agency of Canada for the Regions of Quebec","7/20/2004 12:00:00 AM","2/5/2006 11:59:00 PM","Quebec",
"36","Hon.","Jacques","Saada","Minister responsible for the Francophonie","7/20/2004 12:00:00 AM","2/5/2006 11:59:00 PM","Quebec",
"37","Hon.","John","Godfrey","Minister of State (Infrastructure and Communities)","7/20/2004 12:00:00 AM","2/5/2006 11:59:00 PM","Ontario",
"38","Hon.","Tony","Ianno","Minister of State (Families and Caregivers)","7/20/2004 12:00:00 AM","2/5/2006 11:59:00 PM","Ontario",


