Honorific Title,First Name,Last Name,Constituency,Province / Territory,Political Affiliation,Start Date,End Date
,Majid,Jowhari,Richmond Hill,Ontario,Liberal,10/19/15 0:00,
,Peter,Julian,New Westminster—Burnaby,British Columbia,NDP,10/19/15 0:00,
,Darshan Singh,Kang,Calgary Skyview,Alberta,Independent,10/19/15 0:00,
,Pat,Kelly,Calgary Rocky Ridge,Alberta,Conservative,10/19/15 0:00,
Hon.,Jason,Kenney,Calgary Midnapore,Alberta,Conservative,10/19/15 0:00,9/23/16 23:59
Hon.,Peter,Kent,Thornhill,Ontario,Conservative,10/19/15 0:00,
,Iqra,Khalid,Mississauga—Erin Mills,Ontario,Liberal,10/19/15 0:00,
,Kamal,Khera,Brampton West,Ontario,Liberal,10/19/15 0:00,
,Robert,Kitchen,Souris—Moose Mountain,Saskatchewan,Conservative,10/19/15 0:00,
,Tom,Kmiec,Calgary Shepard,Alberta,Conservative,10/19/15 0:00,
,Stephanie,Kusie,Calgary Midnapore,Alberta,Conservative,4/3/17 0:00,
,Jenny,Kwan,Vancouver East,British Columbia,NDP,10/19/15 0:00,
Hon.,Mike,Lake,Edmonton—Wetaskiwin,Alberta,Conservative,10/19/15 0:00,
,Emmanuella,Lambropoulos,Saint-Laurent,Quebec,Liberal,4/3/17 0:00,
Hon.,David,Lametti,LaSalle—Émard—Verdun,Quebec,Liberal,10/19/15 0:00,
,Kevin,Lamoureux,Winnipeg North,Manitoba,Liberal,10/19/15 0:00,
,Linda,Lapointe,Rivière-des-Mille-Îles,Quebec,Liberal,10/19/15 0:00,
,Guy,Lauzon,Stormont—Dundas—South Glengarry,Ontario,Conservative,10/19/15 0:00,
,Stéphane,Lauzon,Argenteuil—La Petite-Nation,Quebec,Liberal,10/19/15 0:00,
,Hélène,Laverdière,Laurier—Sainte-Marie,Quebec,NDP,10/19/15 0:00,
Hon.,Denis,Lebel,Lac-Saint-Jean,Quebec,Conservative,10/19/15 0:00,8/9/17 10:35
Hon.,Dominic,LeBlanc,Beauséjour,New Brunswick,Liberal,10/19/15 0:00,
Hon.,Diane,Lebouthillier,Gaspésie—Les Îles-de-la-Madeleine,Quebec,Liberal,10/19/15 0:00,
,Paul,Lefebvre,Sudbury,Ontario,Liberal,10/19/15 0:00,
Hon.,K. Kellie,Leitch,Simcoe—Grey,Ontario,Conservative,10/19/15 0:00,
,Denis,Lemieux,Chicoutimi—Le Fjord,Quebec,Liberal,10/19/15 0:00,12/1/17 23:59
Hon.,Andrew,Leslie,Orléans,Ontario,Liberal,10/19/15 0:00,
,Michael,Levitt,York Centre,Ontario,Liberal,10/19/15 0:00,
,Ron,Liepert,Calgary Signal Hill,Alberta,Conservative,10/19/15 0:00,
,Joël,Lightbound,Louis-Hébert,Quebec,Liberal,10/19/15 0:00,
,Dane,Lloyd,Sturgeon River—Parkland,Alberta,Conservative,10/23/17 0:00,
,Ben,Lobb,Huron—Bruce,Ontario,Conservative,10/19/15 0:00,
,Alaina,Lockhart,Fundy Royal,New Brunswick,Liberal,10/19/15 0:00,
,Wayne,Long,Saint John—Rothesay,New Brunswick,Liberal,10/19/15 0:00,
,Lloyd,Longfield,Guelph,Ontario,Liberal,10/19/15 0:00,
,Karen,Ludwig,New Brunswick Southwest,New Brunswick,Liberal,10/19/15 0:00,
,Tom,Lukiwski,Moose Jaw—Lake Centre—Lanigan,Saskatchewan,Conservative,10/19/15 0:00,
Hon.,Lawrence,MacAulay,Cardigan,Prince Edward Island,Liberal,10/19/15 0:00,
,Alistair,MacGregor,Cowichan—Malahat—Langford,British Columbia,NDP,10/19/15 0:00,
,Dave,MacKenzie,Oxford,Ontario,Conservative,10/19/15 0:00,
,Steven,MacKinnon,Gatineau,Quebec,Liberal,10/19/15 0:00,
,Larry,Maguire,Brandon—Souris,Manitoba,Conservative,10/19/15 0:00,
,Sheila,Malcolmson,Nanaimo—Ladysmith,British Columbia,NDP,10/19/15 0:00,1/2/19 8:58
,James,Maloney,Etobicoke—Lakeshore,Ontario,Liberal,10/19/15 0:00,
,Paul,Manly,Nanaimo—Ladysmith,British Columbia,Green Party,5/6/19 0:00,
,Simon,Marcil,Mirabel,Quebec,Bloc Québécois,10/19/15 0:00,
,Richard,Martel,Chicoutimi—Le Fjord,Quebec,Conservative,6/18/18 0:00,
,Brian,Masse,Windsor West,Ontario,NDP,10/19/15 0:00,
,Rémi,Massé,Avignon—La Mitis—Matane—Matapédia,Quebec,Liberal,10/19/15 0:00,
,Irene,Mathyssen,London—Fanshawe,Ontario,NDP,10/19/15 0:00,
,Bryan,May,Cambridge,Ontario,Liberal,10/19/15 0:00,
,Elizabeth,May,Saanich—Gulf Islands,British Columbia,Green Party,10/19/15 0:00,
Hon.,John,McCallum,Markham—Thornhill,Ontario,Liberal,10/19/15 0:00,2/1/17 23:59
,Kelly,McCauley,Edmonton West,Alberta,Conservative,10/19/15 0:00,
,Phil,McColeman,Brantford—Brant,Ontario,Conservative,10/19/15 0:00,
,Karen,McCrimmon,Kanata—Carleton,Ontario,Liberal,10/19/15 0:00,
,Ken,McDonald,Avalon,Newfoundland and Labrador,Liberal,10/19/15 0:00,
Hon.,David,McGuinty,Ottawa South,Ontario,Liberal,10/19/15 0:00,
Hon.,John,McKay,Scarborough—Guildwood,Ontario,Liberal,10/19/15 0:00,
Hon.,Catherine,McKenna,Ottawa Centre,Ontario,Liberal,10/19/15 0:00,
,Ron,McKinnon,Coquitlam—Port Coquitlam,British Columbia,Liberal,10/19/15 0:00,
,Cathy,McLeod,Kamloops—Thompson—Cariboo,British Columbia,Conservative,10/19/15 0:00,
,Michael,McLeod,Northwest Territories,Northwest Territories,Liberal,10/19/15 0:00,
,Alexandra,Mendès,Brossard—Saint-Lambert,Quebec,Liberal,10/19/15 0:00,
,Marco,Mendicino,Eglinton—Lawrence,Ontario,Liberal,10/19/15 0:00,
Hon.,MaryAnn,Mihychuk,Kildonan—St. Paul,Manitoba,Liberal,10/19/15 0:00,
,Larry,Miller,Bruce—Grey—Owen Sound,Ontario,Conservative,10/19/15 0:00,
,Marc,Miller,Ville-Marie—Le Sud-Ouest—Île-des-Soeurs,Quebec,Liberal,10/19/15 0:00,
Hon.,Maryam,Monsef,Peterborough—Kawartha,Ontario,Liberal,10/19/15 0:00,
,Christine,Moore,Abitibi—Témiscamingue,Quebec,NDP,10/19/15 0:00,
Hon.,Bill,Morneau,Toronto Centre,Ontario,Liberal,10/19/15 0:00,
,Robert,Morrissey,Egmont,Prince Edward Island,Liberal,10/19/15 0:00,
,Glen,Motz,Medicine Hat—Cardston—Warner,Alberta,Conservative,10/24/16 0:00,
Hon.,Thomas,Mulcair,Outremont,Quebec,NDP,10/19/15 0:00,8/3/18 23:59
Hon.,Joyce,Murray,Vancouver Quadra,British Columbia,Liberal,10/19/15 0:00,
