"uri","bill type","date","home page","home page > uri","label","session > display name","sponsors > sponsor printed","title"
"http://data.parliament.uk/resources/393396","Ten Minute Rule","2014-05-15","additionalchargesforutilitybillsnotpaidbydirectdebitlimits.html","http://services.parliament.uk/bills/additionalchargesforutilitybillsnotpaidbydirectdebitlimits.html","Additional Charges for Utility Bills Not Paid by Direct Debit (Limits)","2013-2014","Robert Halfon","Additional Charges for Utility Bills Not Paid by Direct Debit (Limits)"
"http://data.parliament.uk/resources/393397","Ten Minute Rule","2014-05-15","housingbenefitanduniversalcreditinthesocialhousingsectorregularpayments.html","http://services.parliament.uk/bills/housingbenefitanduniversalcreditinthesocialhousingsectorregularpayments.html","Housing Benefit and Universal Credit in the Social Housing Sector (Regular Payments)","2013-2014","Ian Lavery","Housing Benefit and Universal Credit in the Social Housing Sector (Regular Payments)"
"http://data.parliament.uk/resources/393399","Ten Minute Rule","2014-05-15","nationalinsurancerenaming.html","http://services.parliament.uk/bills/nationalinsurancerenaming.html","National Insurance (Renaming)","2013-2014","Ben Gummer","National Insurance (Renaming)"
"http://data.parliament.uk/resources/393400","Ten Minute Rule","2014-05-15","domesticviolencelegalframework.html","http://services.parliament.uk/bills/domesticviolencelegalframework.html","Domestic Violence (Legal Framework)","2013-2014","Elfyn Llwyd","Domestic Violence (Legal Framework)"
"http://data.parliament.uk/resources/393402","Ten Minute Rule","2014-05-15","saleofticketssportingandculturalevents.html","http://services.parliament.uk/bills/saleofticketssportingandculturalevents.html","Sale of Tickets (Sporting and Cultural Events)","2013-2014","Nick Smith","Sale of Tickets (Sporting and Cultural Events)"
"http://data.parliament.uk/resources/393403","Ten Minute Rule","2014-05-15","cooperativeandsocialenterprisedevelopment.html","http://services.parliament.uk/bills/cooperativeandsocialenterprisedevelopment.html","Co-operative and Social Enterprise (Development)","2013-2014","Jim Dobbin","Co-operative and Social Enterprise (Development)"
"http://data.parliament.uk/resources/393404","Ten Minute Rule","2014-05-15","privaterentedsector.html","http://services.parliament.uk/bills/privaterentedsector.html","Private Rented Sector","2013-2014","Dr Julian Huppert","Private Rented Sector"
"http://data.parliament.uk/resources/393405","Ten Minute Rule","2014-05-15","brownhareprotection.html","http://services.parliament.uk/bills/brownhareprotection.html","Brown Hare (Protection)","2013-2014","Sir John Randall","Brown Hare (Protection)"
"http://data.parliament.uk/resources/393407","Ten Minute Rule","2014-05-15","contaminatedbloodsupportforinfectedandbereavedpersons.html","http://services.parliament.uk/bills/contaminatedbloodsupportforinfectedandbereavedpersons.html","Contaminated Blood (Support for Infected and Bereaved Persons)","2013-2014","Tom Clarke","Contaminated Blood (Support for Infected and Bereaved Persons)"
"http://data.parliament.uk/resources/393408","Presentation","2014-05-15","energyinbuildings.html","http://services.parliament.uk/bills/energyinbuildings.html","Energy in Buildings","2013-2014","Martin Caton","Energy in Buildings"
"http://data.parliament.uk/resources/393410","Ten Minute Rule","2014-05-15","illegalimportationofdogsfixedpenalty.html","http://services.parliament.uk/bills/illegalimportationofdogsfixedpenalty.html","Illegal Importation of Dogs (Fixed Penalty)","2013-2014","Jim Fitzpatrick","Illegal Importation of Dogs (Fixed Penalty)"
"http://data.parliament.uk/resources/393411","Presentation","2014-05-15","recallofmembersofparliament.html","http://services.parliament.uk/bills/recallofmembersofparliament.html","Recall of Members of Parliament","2013-2014","Zac Goldsmith","Recall of Members of Parliament"
"http://data.parliament.uk/resources/393412","Presentation","2014-05-15","nationalparksgovernance.html","http://services.parliament.uk/bills/nationalparksgovernance.html","National Parks (Governance)","2013-2014","Tim Farron","National Parks (Governance)"
"http://data.parliament.uk/resources/393413","Ten Minute Rule","2014-05-15","regulationofgamblingadvertising.html","http://services.parliament.uk/bills/regulationofgamblingadvertising.html","Regulation of Gambling Advertising","2013-2014","Jake Berry","Regulation of Gambling Advertising"
"http://data.parliament.uk/resources/393414","Ten Minute Rule","2014-05-15","scotlandindependencewestminsterrepresentation.html","http://services.parliament.uk/bills/scotlandindependencewestminsterrepresentation.html","Scotland (Independence) (Westminster Representation)","2013-2014","Angus Brendan MacNeil","Scotland (Independence) (Westminster Representation)"
"http://data.parliament.uk/resources/393415","Presentation","2014-05-15","footballgovernanceno2.html","http://services.parliament.uk/bills/footballgovernanceno2.html","Football Governance (No. 2)","2013-2014","Damian Collins","Football Governance (No. 2)"
"http://data.parliament.uk/resources/393416","Ten Minute Rule","2014-05-15","nationalhealthservicerighttotreatment.html","http://services.parliament.uk/bills/nationalhealthservicerighttotreatment.html","National Health Service (Right to Treatment)","2013-2014","Hugh Bayley","National Health Service (Right to Treatment)"
