"uri","bill type","date","home page","home page > uri","identifier","label","session > display name","sponsors > sponsor printed","title"
"http://data.parliament.uk/resources/584773","Presentation","2016-11-18","airqualitydieselemissionsinurbancentres.html","http://services.parliament.uk/bills/2016-17/airqualitydieselemissionsinurbancentres.html","1902","Air Quality (Diesel Emissions in Urban Centres)","2016-2017","Geraint Davies","Air Quality (Diesel Emissions in Urban Centres) Bill"
"http://data.parliament.uk/resources/531374","Ballot","2016-11-02","assetsofcommunityvalue.html","http://services.parliament.uk/bills/2016-17/assetsofcommunityvalue.html","1847","Assets of Community Value","2016-2017","James Morris","Assets of Community Value Bill"
"http://data.parliament.uk/resources/531379","Ballot","2016-11-02","gangmasterslicensingandlabourabuseauthority.html","http://services.parliament.uk/bills/2016-17/gangmasterslicensingandlabourabuseauthority.html","1852","Gangmasters (Licensing) and Labour Abuse Authority","2016-2017","Louise Haigh","Gangmasters (Licensing) and Labour Abuse Authority Bill"
"http://data.parliament.uk/resources/434297","Private","2016-10-05","haberdashersaskescharity.html","http://services.parliament.uk/bills/2016-17/haberdashersaskescharity.html","1720","Haberdashers' Aske's Charity","2015-2016",,"Haberdashers' Aske's Charity Bill [HL]"
"http://data.parliament.uk/resources/434297","Private","2016-10-05","haberdashersaskescharity.html","http://services.parliament.uk/bills/2016-17/haberdashersaskescharity.html","1720","Haberdashers' Aske's Charity","2016-2017",,"Haberdashers' Aske's Charity Bill [HL]"
"http://data.parliament.uk/resources/532588","Government","2016-07-21","supplyandappropriationmainestimates.html","http://services.parliament.uk/bills/2016-17/supplyandappropriationmainestimates.html","1858","Supply and Appropriation (Main Estimates)","2016-2017","David Gauke","Supply and Appropriation (Main Estimates) Bill"
"http://data.parliament.uk/resources/532588","Government","2016-07-21","supplyandappropriationmainestimates.html","http://services.parliament.uk/bills/2016-17/supplyandappropriationmainestimates.html","1858","Supply and Appropriation (Main Estimates)","2016-2017","Lord O'Neill of Gatley","Supply and Appropriation (Main Estimates) Bill"
"http://data.parliament.uk/resources/393710","Government","2016-05-11","energy.html","http://services.parliament.uk/bills/2015-16/energy.html","1677","Energy","2015-2016","Amber Rudd","Energy Bill [HL]"
"http://data.parliament.uk/resources/393710","Government","2016-05-11","energy.html","http://services.parliament.uk/bills/2015-16/energy.html","1677","Energy","2015-2016","Lord Bourne of Aberystwyth","Energy Bill [HL]"
"http://data.parliament.uk/resources/434276","Government","2016-05-11","immigration.html","http://services.parliament.uk/bills/2015-16/immigration.html","1699","Immigration","2015-2016","Lord Bates","Immigration Bill"
"http://data.parliament.uk/resources/434276","Government","2016-05-11","immigration.html","http://services.parliament.uk/bills/2015-16/immigration.html","1699","Immigration","2015-2016","Theresa May","Immigration Bill"
"http://data.parliament.uk/resources/434277","Government","2016-05-11","housingandplanning.html","http://services.parliament.uk/bills/2015-16/housingandplanning.html","1700","Housing and Planning","2015-2016","Baroness Williams of Trafford","Housing and Planning Bill"
"http://data.parliament.uk/resources/434277","Government","2016-05-11","housingandplanning.html","http://services.parliament.uk/bills/2015-16/housingandplanning.html","1700","Housing and Planning","2015-2016","Greg Clark","Housing and Planning Bill"
"http://data.parliament.uk/resources/434288","Ten Minute Rule","2016-05-11","houseofcommonsmembersfundno2.html","http://services.parliament.uk/bills/2015-16/houseofcommonsmembersfundno2.html","1711","House of Commons (Members' Fund) (No.2)","2015-2016","Lord Naseby","House of Commons (Members' Fund) (No.2) Bill"
"http://data.parliament.uk/resources/434288","Ten Minute Rule","2016-05-11","houseofcommonsmembersfundno2.html","http://services.parliament.uk/bills/2015-16/houseofcommonsmembersfundno2.html","1711","House of Commons (Members' Fund) (No.2)","2015-2016","Sir Paul Beresford","House of Commons (Members' Fund) (No.2) Bill"
"http://data.parliament.uk/resources/518554","Ten Minute Rule","2016-05-11","harbourdocksandpiersclausesact1847amendment.html","http://services.parliament.uk/bills/2015-16/harbourdocksandpiersclausesact1847amendment.html","1772","Harbour, Docks and Piers Clauses Act 1847 (Amendment)","2015-2016","Craig Mackinlay","Harbour, Docks and Piers Clauses Act 1847 (Amendment) Bill"
"http://data.parliament.uk/resources/393637","HoL Private","2016-05-06","roadtrafficact1988alcohollimitsamendment.html","http://services.parliament.uk/bills/2015-16/roadtrafficact1988alcohollimitsamendment.html","1603","Road Traffic Act 1988 (Alcohol Limits) (Amendment)","2015-2016","Lord Brooke of Alverthorpe","Road Traffic Act 1988 (Alcohol Limits) (Amendment) Bill [HL]"
"http://data.parliament.uk/resources/393677","Ballot","2016-05-06","criminalcasesreviewcommissioninformation.html","http://services.parliament.uk/bills/2015-16/criminalcasesreviewcommissioninformation.html","1644","Criminal Cases Review Commission (Information)","2015-2016","Lords Ramsbotham","Criminal Cases Review Commission (Information) Bill"
"http://data.parliament.uk/resources/393677","Ballot","2016-05-06","criminalcasesreviewcommissioninformation.html","http://services.parliament.uk/bills/2015-16/criminalcasesreviewcommissioninformation.html","1644","Criminal Cases Review Commission (Information)","2015-2016","William Wragg","Criminal Cases Review Commission (Information) Bill"
"http://data.parliament.uk/resources/434271","Government","2016-05-06","armedforces.html","http://services.parliament.uk/bills/2015-16/armedforces.html","1694","Armed Forces","2015-2016","Earl Howe","Armed Forces Bill"
"http://data.parliament.uk/resources/434271","Government","2016-05-06","armedforces.html","http://services.parliament.uk/bills/2015-16/armedforces.html","1694","Armed Forces","2015-2016","Michael Fallon","Armed Forces Bill"
"http://data.parliament.uk/resources/448879","Ten Minute Rule","2016-05-06","drivinginstructorsregistration.html","http://services.parliament.uk/bills/2015-16/drivinginstructorsregistration.html","1739","Driving Instructors (Registration)","2015-2016","Earl Attlee","Driving Instructors (Registration) Bill"
"http://data.parliament.uk/resources/448879","Ten Minute Rule","2016-05-06","drivinginstructorsregistration.html","http://services.parliament.uk/bills/2015-16/drivinginstructorsregistration.html","1739","Driving Instructors (Registration)","2015-2016","Sir David Amess","Driving Instructors (Registration) Bill"
"http://data.parliament.uk/resources/516801","Ten Minute Rule","2016-05-06","houseoflordsreformexclusionofhereditarypeers.html","http://services.parliament.uk/bills/2015-16/houseoflordsreformexclusionofhereditarypeers.html","1767","House of Lords Reform (Exclusion of Hereditary Peers)","2015-2016","Mr David Hanson","House of Lords Reform (Exclusion of Hereditary Peers) Bill"
